a,b,c,d,e,f,g,h,i,j,k,l
1,231.879,46.007,93.4045,4,108.851,0,-3.1263,-4.47625,-3.1263,-3.68051,-8.81149
1,231.022,48.2079,98.3965,5,106.084,0,-4.153,-6.03813,-4.153,-5.68919,-8.55771
1,230.108,45.8964,104.339,5,106.068,0,-3.48738,-5.77845,-3.48738,-5.34499,-8.30361
1,229.224,43.9844,110.04,5,105.096,0,-4.35994,-5.8813,-4.35994,-5.24613,-10.3261
1,228.083,44.2931,116.661,5,107.855,0,-3.28251,-4.85761,-3.28251,-3.18402,-7.55097
1,232.566,51.1471,93.1566,5,105.755,0,-4.09845,-4.2405,-4.09845,-5.17499,-7.40999
1,230.95,53.127,98.4736,5,105.791,0,-3.30599,-5.06144,-3.30599,-5.69091,-9.46288
1,230.098,50.6312,104.287,5,106.126,0,-3.54041,-6.04285,-3.54041,-4.42434,-8.59243
1,229.41,48.4489,110.593,5,106.378,0,-3.6303,-6.68109,-3.6303,-3.67313,-8.9774
1,228.279,48.8899,116.299,5,107.209,0,-3.67169,-3.18117,-3.67169,-4.52601,-7.29481
1,232.132,55.6866,93.1356,4,109.384,0,-4.54623,-5.20348,-4.54623,-4.29518,-9.30045
1,230.999,57.9685,98.3035,5,105.653,0,-4.01504,-5.65158,-4.01504,-5.14047,-9.55568
1,229.999,55.5293,104.205,5,105.398,0,-4.22445,-5.92143,-4.22445,-5.03037,-9.7481
1,229.103,53.7132,110.37,5,106.755,0,-4.12325,-7.93786,-4.12325,-2.5874,-8.29038
1,228.599,53.8698,117.139,4,107.649,0,-2.92749,-4.11817,-2.92749,-1.57462,-6.52851
1,231.752,60.7401,93.0366,4,107.426,0,-5.11417,-3.69299,-5.11417,-5.70245,-8.04581
1,230.77,62.8969,98.0685,5,106.266,0,-3.83342,-6.41437,-3.83342,-4.1369,-9.20138
1,229.98,60.3551,104.179,5,106.264,0,-3.47182,-5.26673,-3.47182,-4.18026,-7.62149
1,229.192,58.123,109.966,5,104.839,0,-3.33028,-6.8343,-3.33028,-4.37439,-8.02913
1,228.456,58.6447,117.291,4,112.336,0,-3.40577,-4.87675,-3.40577,-1.52416,-6.58683
1,231.532,64.6959,93.1686,5,107.272,0,-4.35321,-4.71067,-4.35321,-4.33139,-10.0419
1,231.008,67.738,98.6545,5,106.762,0,-4.87818,-6.42797,-4.87818,-5.77127,-9.81796
1,230.149,64.8672,104.027,5,105.36,0,-4.20613,-4.02214,-4.20613,-4.3499,-6.9053
1,229.592,62.8531,110.13,5,105.362,0,-3.32777,-4.74045,-3.32777,-3.71213,-8.59694
1,228.467,62.9949,116.97,4,105.579,0,-3.48219,-3.00129,-3.48219,-2.11479,-6.57741
1,231.735,70.2491,92.3776,4,109.756,0,-3.30466,-3.15698,-3.30466,-5.25979,-6.64102
1,231.259,72.2485,98.7836,4,109.678,0,-4.4064,-6.62158,-4.4064,-6.28344,-10.6969
1,231.285,68.4939,105.777,4,109.236,0,-3.83464,-5.57352,-3.83464,-3.0105,-11.7667
1,230.519,67.8751,110.962,4,109.295,0,-3.51331,-5.17638,-3.51331,-5.60292,-12.8394
1,228.889,68.5145,116.396,4,108.803,0,-3.19504,-5.0118,-3.19504,-2.98669,-7.54911
1,231.602,74.7714,93.2925,5,107.056,0,-4.64552,-3.98457,-4.64552,-4.16018,-7.84237
1,231.113,77.1771,99.0316,5,106.965,0,-4.01831,-5.8496,-4.01831,-5.64071,-10.5116
1,230.705,75.1325,105.025,4,108.919,0,-3.02215,-5.63858,-3.02215,-3.9697,-10.1906
1,230.049,73.9126,108.963,6,105.042,0,-4.48523,-5.13623,-4.48523,-3.93473,-9.78187
1,228.804,72.8445,117.98,4,102.948,0,-3.03611,-3.0232,-3.03611,-1.88719,-6.22163
1,231.369,79.0461,93.9255,5,107.425,0,-5.07193,-5.7713,-5.07193,-5.78819,-10.1361
1,230.894,81.3417,98.8865,5,105.409,0,-4.13932,-6.5267,-4.13932,-5.05688,-10.4671
1,230.764,80.3687,104.575,4,109.222,0,-3.15177,-4.91834,-3.15177,-5.03201,-10.7805
1,229.918,78.3277,111.252,6,104.969,0,-4.77065,-4.58841,-4.77065,-2.78521,-9.97866
1,228.819,78.4161,116.585,5,106.475,0,-4.11468,-3.2092,-4.11468,-4.54031,-7.76879
1,231.198,83.7498,93.8245,5,107.102,0,-5.04823,-5.25577,-5.04823,-6.1794,-11.2112
